name,country,currentFormPointsAfter2022_2023,currentFormPointsAfter2023_2024,currentFormPointsAfter2024_2025,currentFormPointsAfter2025_2026,currentFormPointsAfter2026_2027
Ross Bulman,Ireland,1378.7773353378877,1378.7773353378877,1378.7773353378877,1378.7773353378877,1378.7773353378877
Halim Hussain,England,1500.0,1500.0,1500.0,1409.4706838129857,1409.4706838129857
Antoni Kowalski,Poland,1500.0,1500.0,1269.2985223676778,1698.782233793613,1628.946895880383
Kayden Brierley,England,1500.0,1500.0,1451.7592050120606,1401.0681278319003,1401.0681278319003
Mohamed Elkhayat,Egypt,1500.0,1500.0,1479.0110941459054,1479.0110941459054,1479.0110941459054
Luo Zetao,China,1500.0,1500.0,1500.0,1500.0,1597.18266923001
Scott Donaldson,"Scotland",1511.304025140174,1747.8336654908408,1630.5753144287512,1381.5380113897731,1522.5021952064405
Wang Yuchen,China,1500.0,1500.0,1597.969004856444,1393.310176208245,1393.310176208245
Alfie Burden,"England",1444.331531812859,1486.459414903796,1343.2643065785917,1520.7553737412677,1534.058150535131
Ricky Walden,"England",1923.5426715155504,1855.0523122100385,1690.769790924392,1618.8796765407446,1707.2331018543898
Ronnie O'Sullivan,"England",2147.3647221308515,2446.0411083870513,2147.7495429486007,2635.24373416441,2385.9175802020573
Mark Davis,"England",1762.5542676896825,1894.0992233881004,1693.8617078246125,1475.909605450948,1475.909605450948
Mohammed Shehab,United Arab Emirates,1500.0,1477.2992033077546,1424.7438187663156,1410.530781873827,1410.530781873827
Marco Fu,"Hong Kong",1359.448238957824,1618.9240188356357,1595.6769817383306,1848.6793827078704,1725.9580674237036
Andrew Higginson,England,1654.2866548795384,1552.2524269951405,1419.1168386310374,1419.1168386310374,1462.4573455124614
Chris Wakelin,"England",1752.6958337792414,1837.8325437156743,2083.8540534064696,2028.3511752936827,1903.9086952121568
Zhou Yichen,China,1500.0,1500.0,1500.0,1500.0,1351.0701270525922
Abdulraouf Saigh,Saudi Arabia,1500.0,1500.0,1500.0,1403.5268377815114,1403.5268377815114
Duane Jones,"Wales",1269.0103982409478,1450.5907583416613,1635.4282941175777,1344.5054682289294,1541.678888997104
Ryan Davies,England,1380.1153348615803,1430.1785433169728,1384.8591539024562,1453.7022638451756,1453.7022638451756
Ishpreet Singh Chadha,India,1500.0,1502.0047455354998,1655.7793153148043,1619.6518765741635,1607.452733193247
Graeme Dott,"Scotland",1715.429877239353,1649.202018257991,1606.3764537975358,1606.3764537975358,1606.3764537975358
Ali Jalil Ali,Iraq,1500.0,1500.0,1433.596028359475,1433.596028359475,1433.596028359475
Dean Young,"Scotland",1214.8680852938378,1144.921184984423,1409.5094242454968,1443.9423303469034,1539.5624132585483
